岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
后端开发实习生,180-250/天,本科,实习3个月,深圳,,：1、本科及以上学历，数学类、计算机类、电子类等相关专业，原则上至少实习三个月；2、熟练掌握至少一种编程语言，如Java/Python/go；3、熟练掌握SQL技能，熟悉主流数据库Mysql ，Oracle；4、热爱技术，对新技术敏感，有良好的编程风格，具备良好的学习能力和团队沟通协作能力,：1、本科及以上学历，数学类、计算机类、电子类等相关专业，原则上至少实习三个月；2、熟练掌握至少一种编程语言，如Java/Python/go；3、熟练掌握SQL技能，熟悉主流数据库Mysql ，Oracle；4、热爱技术，对新技术敏感，有良好的编程风格，具备良好的学习能力和团队沟通协作能力
后端开发实习生,200-300/天,本科,实习3个月,北京,:1、负责广告监控系统的开发；2、主要实现语言为Python/Ruby,":1、2023届及以后毕业生，计算机、通信等相关专业；2、有扎实的编程能力，有优秀的设计和代码品味；3、熟悉Mysql, html，了解django或者ruby on rails等web框架；4、热爱编程，有较强的学习能力和强数据分析能力；5、每周至少出勤4天，可长期实习优先",":1、2023届及以后毕业生，计算机、通信等相关专业；2、有扎实的编程能力，有优秀的设计和代码品味；3、熟悉Mysql, html，了解django或者ruby on rails等web框架；4、热爱编程，有较强的学习能力和强数据分析能力；5、每周至少出勤4天，可长期实习优先"
后端开发工程师,150/天,本科,实习6个月,广州,】：1、参与软件系统的详细设计工作；2、负责程序编码工作；3、负责程序代码的单元测试工作；4、负责按照公司的软件开发规范编写相应的项目技术文档,可实习时间半年及以上，考核合格可给予转正,可实习时间半年及以上，考核合格可给予转正
后端开发实习生,200-400/天,不限,实习3个月,上海,：1、理解行业场景，根据需求设计开发高性能、高安全性的后端代码；2、研究公司区块链业务相关的协议，运行机制、加密技术、底层实现和共识算法等，参与设计开发链底层程序和组件工具；3、参与相关技术的研究及技术难点的攻克，不断进行性能优化，代码优化；4、参与团队技术经验沉淀及分享，关注区块链相关前沿技术研究,：1、23届985/211院校，计算机、数学、密码学相关专业；2、对区块链行业感兴趣,：1、23届985/211院校，计算机、数学、密码学相关专业；2、对区块链行业感兴趣
后端开发助理,100-150/天,本科,实习6个月,广州,：1、负责公司内部产品、项目后端开发编码。2 、持续学习最新的后端技术和标准，参与后端架构设计、代码优化工作，提高产品性能。3、从技术层面参与产品讨论、设计,：1、Java 编程基础扎实，理解常见的设计模式，熟练使用S S M框架开发，熟悉S pring Cloud技术栈,：1、Java 编程基础扎实，理解常见的设计模式，熟练使用S S M框架开发，熟悉S pring Cloud技术栈
后端开发实习生,150-200/天,本科,实习3个月,上海,】1、设计并实现数据分析、存储、读取，并实现相关后端API,】1、熟悉Node.js事件机制、异步io、常见模块的使用；2、熟练使用MongoDB、mysql等后端数据库,】1、熟悉Node.js事件机制、异步io、常见模块的使用；2、熟练使用MongoDB、mysql等后端数据库
后端开发工程师,300-400/天,不限,实习1个月,天津,,,
后端Web开发,150-300/天,本科,实习3个月,上海,,,
后端开发实习生,300-500/天,本科,实习3个月,北京,描述：负责产品系统级设计开发维护，工作任务包括但不限于公司核心业务系统需求分析和服务端开发、架构设计、系统调优。任职要求：1、数学类/物理类/信息与通信工程类/机械工程类/电气工程类/电子科学与技术类/计算机科学与技术类/软件工程类专业本科及以上学历；2、学习成绩优秀，对新生事物及专业相关领域知识具有极强的学习能力和知识迁移能力良好的协作能力，责任心强，能自我驱动，具有团队精神。加分项：1、有获奖经历/学生干部经验/获优秀毕业论文，是优秀毕业生/博士生；2、是开源社区活跃贡献者,：1、数学类/物理类/信息与通信工程类/机械工程类/电气工程类/电子科学与技术类/计算机科学与技术类/软件工程类专业本科及以上学历；2、学习成绩优秀，对新生事物及专业相关领域知识具有极强的学习能力和知识迁移能力良好的协作能力，责任心强，能自我驱动，具有团队精神,：1、数学类/物理类/信息与通信工程类/机械工程类/电气工程类/电子科学与技术类/计算机科学与技术类/软件工程类专业本科及以上学历；2、学习成绩优秀，对新生事物及专业相关领域知识具有极强的学习能力和知识迁移能力良好的协作能力，责任心强，能自我驱动，具有团队精神
后端开发实习生,120-150/天,本科,实习3个月,广州,1、参与微信小程序、APP等项目开发，核心模块系统设计；2、根据产品需求和设计进行软件开发；3、完成直接上级交办的其他工作任务。任职资格1、2022届、2023届本科及以上，计算机或相关专业优先；熟悉各种java技术优先，有算法基础优先；2、有良好的沟通能力、学习能力和合作精神，能接受挑战；3、实习时长不少于3个月，每周不少于4天到岗，需尽快到岗；4、有相关实习经验者优先。公司福利：轻松愉快的工作氛围、朝九晚六工作时间、超赞公司饭堂,[],[]
