岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
java开发工程师-实习生,180-250/天,本科,实习8个月,北京,,,
Java开发工程师实习生,200-250/天,本科,实习3个月,北京,： 1、负责相关业务系统的建设； 2、参与系统方案设计并负责代码编写； 3、按照项目经理要求，完成编码任务、BUG修改、测试及维护； 4、解决软件维护、运营过程中各种技术问题； 5、负责编写相应模块的开发文档,，完成编码任务、BUG修改、测试及维护； 4、解决软件维护、运营过程中各种技术问题； 5、负责编写相应模块的开发文档,，完成编码任务、BUG修改、测试及维护； 4、解决软件维护、运营过程中各种技术问题； 5、负责编写相应模块的开发文档
Java运维研发实习生,400-500/天,本科,实习3个月,全国,, 1、本科或硕士在读，计算机、通信等相关专业，每周能保证至少3天出勤，实习时间至少3个月2、熟悉Java编程，熟悉Spring、Mybatis等Java常用开源框架、设计模式及并发编程；3、熟悉MySQL数据库，了解数据库的基本理论；4、积极乐观，责任心强，工作认真细致，具备良好的服务意识，具有良好的团队沟通与协作能力；5、热爱编程，有较强的学习能力和抽象能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界最新技术, 1、本科或硕士在读，计算机、通信等相关专业，每周能保证至少3天出勤，实习时间至少3个月2、熟悉Java编程，熟悉Spring、Mybatis等Java常用开源框架、设计模式及并发编程；3、熟悉MySQL数据库，了解数据库的基本理论；4、积极乐观，责任心强，工作认真细致，具备良好的服务意识，具有良好的团队沟通与协作能力；5、热爱编程，有较强的学习能力和抽象能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界最新技术
助理JAVA开发工程师,120-200/天,本科,实习6个月,广州,：1、负责系统平台的设计和研发；2、负责公司创新软件产品的优化和实现；3、负责对实施项目的故障应对,：1、对智慧交通、人工智能、出行服务有浓厚的兴趣；2、了解Struts、Spring、Hibernate、MyBatis等主流开源框架；3、了解oracle、mysql等数据库操作，SQL语法熟练；4、逻辑思维能力强、性格踏实，具备较强的创新能力、团队意识,：1、对智慧交通、人工智能、出行服务有浓厚的兴趣；2、了解Struts、Spring、Hibernate、MyBatis等主流开源框架；3、了解oracle、mysql等数据库操作，SQL语法熟练；4、逻辑思维能力强、性格踏实，具备较强的创新能力、团队意识
java开发实习工程师,120-150/天,本科,实习12个月,济南,： 1、完成核心框架的设计及核心代码的开发； 2、完成系统设计和开发环境搭建工作，解决项目开发中的难点问题； 岗位要求： 1、要求计算机专业本科及以上学历； 2、熟练java编程语言，熟练使用svn或git； 3、熟练掌握主流Java Web框架（Jquery，Spring Mvc，Mybatis）； 4、具有MySQL/Oracle等关系型数据库应用开发经验； 5、熟练掌握linux常用操作命令； 6、熟悉dubbo\dubbox、spring boot、spring cloud、docker、k8s、redis等服务框架及容器技术者优先； 招聘23届毕业生,： 1、要求计算机专业本科及以上学历； 2、熟练java编程语言，熟练使用svn或git； 3、熟练掌握主流Java Web框架（Jquery，Spring Mvc，Mybatis）； 4、具有MySQL/Oracle等关系型数据库应用开发经验； 5、熟练掌握linux常用操作命令； 6、熟悉dubbo\dubbox、spring boot、spring cloud、docker、k8s、redis等服务框架及容器技术者优先； 招聘23届毕业生,： 1、要求计算机专业本科及以上学历； 2、熟练java编程语言，熟练使用svn或git； 3、熟练掌握主流Java Web框架（Jquery，Spring Mvc，Mybatis）； 4、具有MySQL/Oracle等关系型数据库应用开发经验； 5、熟练掌握linux常用操作命令； 6、熟悉dubbo\dubbox、spring boot、spring cloud、docker、k8s、redis等服务框架及容器技术者优先； 招聘23届毕业生
Java开发工程师（实习）,120-150/天,大专,实习4个月,天津,,,
JAVA软件工程师实习生,100-200/天,不限,实习6个月,南京,,,
Java服务端研发实习生,100-120/天,本科,实习4个月,广州,,】1、计算机相关专业，本科大三以上，研一、研二优先；2、熟练使用java语言，具备扎实的数据结构基础、程序设计基本功和学习能力；3、熟悉常用框架以及中间件如SpringBoot，Mybatis，Redis等；4、熟悉MySQL数据库，熟悉关系数据库应用设计开发&semi;5、为人坦诚、工作积极、善于沟通，有独立探索解决问题的能力,】1、计算机相关专业，本科大三以上，研一、研二优先；2、熟练使用java语言，具备扎实的数据结构基础、程序设计基本功和学习能力；3、熟悉常用框架以及中间件如SpringBoot，Mybatis，Redis等；4、熟悉MySQL数据库，熟悉关系数据库应用设计开发&semi;5、为人坦诚、工作积极、善于沟通，有独立探索解决问题的能力
Java开发实习（人工智能方向）,150-300/天,本科,实习3个月,深圳,：1. 参与完成项目的系统分析、设计，并负责业务功能与底层基础功能的功能设计、代码实现与单元测试；2. 根据业务需求提供合理的技术解决方案；3. 改进现有模块功能，提高系统的健壮性、稳定性以及性能,：1. 本科以上学历，CS或相关专业，基础扎实；2. 熟悉常用数据结构与算法；3. 熟悉后台服务相关技术（如：Web框架、数据库、并发等）,：1. 本科以上学历，CS或相关专业，基础扎实；2. 熟悉常用数据结构与算法；3. 熟悉后台服务相关技术（如：Web框架、数据库、并发等）
游戏服务器程序开发工程师Java,100-200/天,本科,实习4个月,天津,】 1.搭建手机游戏项目后台服务框架，设计服务器系统架构； 2.负责数据库结构的设计和优化； 3.负责服务器和客户端之间的通信； 4.开发游戏相关工具，例如数据表格处理工具、测试部署工具等； 5.负责服务器任务风险分析，和服务器任务拆解分配工作,】 1. 2年以上实际使用java经验,】 1. 2年以上实际使用java经验
