岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
前端开发实习生,150-200/天,本科,实习3个月,上海,1.负责公司项目的前端部分代码的开发及调试工作。与产品协作，实现前端页面及交互效果。2.负责与后端开发团队紧密协作，完成数据交互、动态信息展现。3.负责前端页面性能优化及主流浏览器兼容优化 任职要求 1.全日制本科及以上学历，计算机相关专业。熟练使用HTML/CSS/JavaScript(Vue/React/jQuery至少精通两种)，有服务端数据交互的经验，精通前后端分离的开发模式。2.参与设计并编写web前端通用组件3.熟练使用数据可视化控件如echarts，掌握canvas绘图技术；有Vue或者React大型项目使用经验优先。4.有责任心，优秀的团队合作精神，良好的沟通表达和逻辑分析能力, 1.全日制本科及以上学历，计算机相关专业, 1.全日制本科及以上学历，计算机相关专业
前端开发实习生,150-200/天,本科,实习3个月,广州,,"】1.计算机及相关专业本科以上学历，有Web前端开发相关经验；2.熟练掌握HTML5、CSS3、JavaScript、ES6等前端技术；3.能熟练掌握至少一种主流前端框架Vue、React等，并了解其原理；4.熟悉前端构建工具，如Webpack、Gulp等；5.了解浏览器兼容性、前端性能优化；有node、小程序等开发经验优先6.具备良好的沟通能力和团队协作精神,较强的学习能力和责任心；7.实习时间：至少实习3个月的时间，且每周实习4天以上；【岗位福利】1. 明星产品、重点项目的设计经历，靠谱的有机会负责重要活动或内容推广的主视觉；2. 参与真实的互联网视觉设计、交付全流程，锻炼需求评估能力、设计能力、沟通能力与业务理解能力；3. 网易统一制定实习薪资，有机会收获一份具有含金量的简历；4. 网易饭堂、班车、健身房、理疗福利","】1.计算机及相关专业本科以上学历，有Web前端开发相关经验；2.熟练掌握HTML5、CSS3、JavaScript、ES6等前端技术；3.能熟练掌握至少一种主流前端框架Vue、React等，并了解其原理；4.熟悉前端构建工具，如Webpack、Gulp等；5.了解浏览器兼容性、前端性能优化；有node、小程序等开发经验优先6.具备良好的沟通能力和团队协作精神,较强的学习能力和责任心；7.实习时间：至少实习3个月的时间，且每周实习4天以上；【岗位福利】1. 明星产品、重点项目的设计经历，靠谱的有机会负责重要活动或内容推广的主视觉；2. 参与真实的互联网视觉设计、交付全流程，锻炼需求评估能力、设计能力、沟通能力与业务理解能力；3. 网易统一制定实习薪资，有机会收获一份具有含金量的简历；4. 网易饭堂、班车、健身房、理疗福利"
前端开发实习生,400/天,本科,实习3个月,北京,,1. 理解并掌握Javascript语言核心技术DOM、BOM、Ajax、JSON等，对MVVM框架应用（如React/Vue等）有一定的经验；2. 计算机基础扎实，熟悉常见的数据结构、算法和设计模式，对各种Web前端技术有深刻理解；3. 积极乐观，责任心强，工作认真细致，具备良好的服务意识，具有良好的团队沟通与协作能力；4. 热爱前端技术，有较强的学习能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界最新的前端技术,1. 理解并掌握Javascript语言核心技术DOM、BOM、Ajax、JSON等，对MVVM框架应用（如React/Vue等）有一定的经验；2. 计算机基础扎实，熟悉常见的数据结构、算法和设计模式，对各种Web前端技术有深刻理解；3. 积极乐观，责任心强，工作认真细致，具备良好的服务意识，具有良好的团队沟通与协作能力；4. 热爱前端技术，有较强的学习能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界最新的前端技术
前端开发工程师,200-250/天,本科,实习3个月,北京,,:1.23年应届理工科毕业生2.熟悉HTML、CSS、JavaScript 、TypeScript等基础语言，熟悉HTML5、CSS3、ES6新特性3.掌握主流前端MVVM框架（Vue、React）中任何一种，熟悉常用组件库，熟悉Webpack和node.js开发环境，能够熟练使用Visual Code,:1.23年应届理工科毕业生2.熟悉HTML、CSS、JavaScript 、TypeScript等基础语言，熟悉HTML5、CSS3、ES6新特性3.掌握主流前端MVVM框架（Vue、React）中任何一种，熟悉常用组件库，熟悉Webpack和node.js开发环境，能够熟练使用Visual Code
前端开发工程师,80-150/天,本科,实习4个月,上海,描述： 1、前端的设计、开发、单元自测工作，以及相关文档撰写；2、确保产品具有优质的用户体验与良好的兼容性,： 1. 本科相关专业大三以上；2. 熟悉各种前端技术（包括HTML/CSS/JavaScript等），熟悉ES6语法，具备跨终端（Mobile+PC）的前端开发能力，熟悉网络协议；（HTTP/SSL），熟悉常见安全问题和对策 ；3. 熟悉VUE框架，熟悉前端工程化与模块化开发，并有实践经验；4. 熟悉前后端分离的开发模式、了解Java语言；5. 对前端技术有持续的热情，良好的团队协作能力，提升团队研发效率，实现极--致性能，通过创新交互优化产；6.有较强的学习能力和意愿；7. 具有较强的分析和解决问题能力，较强的责任心，良好的沟通学习能力和团队合作精神,： 1. 本科相关专业大三以上；2. 熟悉各种前端技术（包括HTML/CSS/JavaScript等），熟悉ES6语法，具备跨终端（Mobile+PC）的前端开发能力，熟悉网络协议；（HTTP/SSL），熟悉常见安全问题和对策 ；3. 熟悉VUE框架，熟悉前端工程化与模块化开发，并有实践经验；4. 熟悉前后端分离的开发模式、了解Java语言；5. 对前端技术有持续的热情，良好的团队协作能力，提升团队研发效率，实现极--致性能，通过创新交互优化产；6.有较强的学习能力和意愿；7. 具有较强的分析和解决问题能力，较强的责任心，良好的沟通学习能力和团队合作精神
前端开发实习生,180-250/天,本科,实习3个月,深圳,,】1）1年以上前端经验，深度了解Vue，有 TypeScript 使用经验,】1）1年以上前端经验，深度了解Vue，有 TypeScript 使用经验
前端开发实习生,200-250/天,本科,实习6个月,北京,,"】1.  本科及以上学历, 热爱编程，熟悉前端开发流程，具备一定的前端项目经验；2.  具备扎实的HTML CSS JS基础，有Vue、React、Angular等MVVM框架及小程序开发经验；3.  熟悉前端工程化相关原理；4.  具备优秀的逻辑思考能力与执行力，具备较强的沟通表达能力；5.  良好的产品意识，具备技术驱动能力","】1.  本科及以上学历, 热爱编程，熟悉前端开发流程，具备一定的前端项目经验；2.  具备扎实的HTML CSS JS基础，有Vue、React、Angular等MVVM框架及小程序开发经验；3.  熟悉前端工程化相关原理；4.  具备优秀的逻辑思考能力与执行力，具备较强的沟通表达能力；5.  良好的产品意识，具备技术驱动能力"
前端开发实习生,100-200/天,本科,实习6个月,重庆,"： 1.参与协助公司项目的开发工作2.配合需求，测试人员完成相关模块开发3.对开发过程中bug即时修正，完成项目上线岗位要求：  1.熟悉Web标准，掌握HTML5、CSS3、XML、Jquery等技术2.熟练使用Vue,Webpack等框架","：  1.熟悉Web标准，掌握HTML5、CSS3、XML、Jquery等技术2.熟练使用Vue,Webpack等框架","：  1.熟悉Web标准，掌握HTML5、CSS3、XML、Jquery等技术2.熟练使用Vue,Webpack等框架"
前端开发实习生,150/天,本科,实习3个月,广州,,1. 本科及以上学历，对HTTP协议、网页性能优化有较好的理解，熟悉常用的前端调试技术和工具；2. 关注前端技术，HTML/CSS/JS基础扎实，熟悉页面架构和常用布局；3. 对互联网产品可用性、易用性等相关知识有了解，有交互设计基础、视觉设计基础者优先；4. 做事谨慎细心优先；5. 具有良好编码规范优先；6. 具有良好的理解能力、沟通能力和强烈的责任心优先,1. 本科及以上学历，对HTTP协议、网页性能优化有较好的理解，熟悉常用的前端调试技术和工具；2. 关注前端技术，HTML/CSS/JS基础扎实，熟悉页面架构和常用布局；3. 对互联网产品可用性、易用性等相关知识有了解，有交互设计基础、视觉设计基础者优先；4. 做事谨慎细心优先；5. 具有良好编码规范优先；6. 具有良好的理解能力、沟通能力和强烈的责任心优先
前端开发实习生,120-150/天,本科,实习4个月,重庆,,能够提供每周不低于3个完整工作日的工作时间，夏秋季实习期至2022年12月止任职资格：1、计算机相关专业，本科三年级及以上学历,能够提供每周不低于3个完整工作日的工作时间，夏秋季实习期至2022年12月止任职资格：1、计算机相关专业，本科三年级及以上学历
